p_xpos,p_ypos,p_xvel,p_yvel,mal1_xpos,mal1_ypos,mal1_xvel,mal1_yvel,mal2_xpos,mal2_ypos,mal2_xvel,mal2_yvel,a_x,a_y
0.18176886268853182,0.0,-0.9506047009290806,0.0,-0.5926481453178508,0.1419214026028664,0.8308534687033804,-0.17184106095812213,0.26523727564042526,0.0,-0.8618914713111784,0.0,-1.374312514271045,-0.3646666249156556
0.14404287306097724,0.0,-0.9360947049184827,0.0,-0.5609615153873755,0.13490152687153578,0.7553701400873974,-0.17897392869017578,0.23076868330869785,0.0,-0.8615467853878612,0.0,-1.8791615579169538,-0.18007666223417584
0.10689273158403322,0.0,-0.9218061889658121,0.0,-0.5323420067150653,0.1277200416005077,0.6775558354950271,-0.18007279011434968,0.19631387558787416,0.0,-0.861202237310653,0.0,-1.9382027376411863,-0.02926690692210132
0.07030964853221248,0.0,-0.9077357724074194,0.0,-0.5068218749468694,0.1206314286255399,0.6003851612415588,-0.17449760959164912,0.16187284696524007,0.0,-0.8608578270244269,0.0,-1.9228868233946539,0.1376073598237726
0.034284968346081836,0.0,-0.8938801261819843,0.0,-0.4842739086787501,0.11384229204991,0.5288073658948343,-0.1651924676893806,0.12744559193028604,0.0,-0.8605135544740773,0.0,-1.7838078921010814,0.230931263412807
-0.001189832415643561,0.0,-0.8802359720428594,0.0,-0.4646238067035312,0.10749390448349629,0.45553443785159736,-0.15254396587878694,0.09303210497470621,0.0,-0.8601694196045215,0.0,-1.826910675587122,0.3146254483732398
-0.036123147092746936,0.0,-0.8668000817824352,0.0,-0.44780918824104454,0.10163676797851809,0.3869165052350368,-0.14061195461791667,0.058768505919903596,0.0,-0.7237000948548284,0.0,-1.7112446607983913,0.29683599739551186
-0.07052324090937452,0.0,-0.8535692764683477,0.0,-0.4336123265072157,0.09623860810260684,0.3244913689182227,-0.12957275465961937,0.05921267609018288,0.0,0.1124128726455161,0.0,-1.5570791924868985,0.2746304589884536
-0.10439825292958811,0.0,-0.8405404256913426,0.0,-0.42172781795004943,0.09125607455773924,0.27107307525761654,-0.11979891963780637,0.06370826933948401,0.0,0.11236791671302308,0.0,-1.3324862143758653,0.24310024215910908
-0.1377561979830679,0.0,-0.8277104468246197,0.0,-0.41181008212472314,0.08663265458767408,0.2259449263785535,-0.11157814591483475,0.06820206472007234,0.0,0.11232297875921719,0.0,-1.1257242880202443,0.20436348808177263
-0.17060496856142182,0.0,-0.8150763042944835,0.0,-0.40358391102466884,0.0823235742783856,0.18635598964228667,-0.10406421835158862,0.07269406295094816,0.0,0.11227805877690845,0.0,-0.9876668756316587,0.18677091900383147
-0.20295233668554943,0.0,-0.802635008862127,0.0,-0.39676387981963857,0.07826133937473882,0.1554210062275566,-0.09917020326991681,0.0771842647508239,0.0,0.1122331567589097,0.0,-0.7716695775669922,0.12133481831588411
-0.23480595574450228,0.0,-0.7903836169163759,0.0,-0.39103967064332146,0.07435639561658249,0.1313917840808837,-0.09615262513637432,0.08167267083812463,0.0,0.11218827269803672,0.0,-0.5992995013727428,0.07446321739902423
-0.2661733623062764,0.0,-0.7783192297772319,0.0,-0.3861256851453909,0.07051615616208841,0.11472526421365517,-0.09586651929604452,0.08615928193098829,0.0,0.11214340658710813,0.0,-0.41543450030622964,0.0061925861446222585
-0.2970619779009649,0.0,-0.7664389930100438,0.0,-0.3816717275329058,0.06660651509628812,0.1081377433242192,-0.09952385688533959,0.09064409874726542,0.0,0.11209855841894537,0.0,-0.16357453283277834,-0.09241084999882676
-0.32741637558123776,-7.74650410465388e-05,-0.692004900296523,-0.0774650410465388,-0.3772601241733422,0.06243093998462817,0.11156109201873993,-0.10805865576340287,0.09512712200451959,0.0,0.11205372818637278,0.0,0.10708339862476879,-0.23959968719975305
-0.3433172771835276,-0.018527854776228207,-0.36362563344179016,-0.5014226478052737,-0.37276611144721505,0.05806491280612326,0.11629627142771452,-0.11440590873472438,0.09960835242002727,0.0,0.11200891588221767,0.0,0.22423863743339845,-0.2998653519911507
-0.3577482355641567,-0.0384274677190575,-0.3580752648338558,-0.49376895051957015,-0.3678245384293115,0.05318720383504537,0.13042814119223597,-0.12911093445863547,0.10408779071077812,0.0,0.11196412149931018,0.0,0.3545321373675131,-0.36884507034054703
-0.3719589203144035,-0.05802333368469352,-0.3526096168529917,-0.48623207899432563,-0.36228749358858925,0.04772401260608225,0.14603294117959462,-0.1436833458233512,0.10856543759347517,0.0,0.11191934503048319,0.0,0.39150426089414836,-0.3656760819251337
-0.3859526936830504,-0.07732008905608603,-0.347227396326589,-0.4788102500053287,-0.35603015246445957,0.041652291759802035,0.16632545031680407,-0.1595060740997522,0.11304129378453484,0.0,0.11187458646857258,0.0,0.5088770637112701,-0.39708613712159435
-0.39973286659763485,-0.09632229944660194,-0.3419273298209797,-0.471501707547438,-0.34890653489291124,0.03495285579215253,0.1892800343190464,-0.17507545251762832,0.11751536000008694,0.0,0.11182984580641707,0.0,0.5756455044489442,-0.390909319438815
-0.4133026994478156,-0.11503446078024968,-0.33670816334014103,-0.4643047224191119,-0.34089198336033666,0.02766480484028217,0.2109054657370688,-0.18897859033844433,0.12198763695597489,0.0,0.11178512303685817,0.0,0.542639423333704,-0.3494004582583683
-0.42666540285678045,-0.13346100035541508,-0.3315686620290008,-0.45721759181327903,-0.33203781000324595,0.019873859666833152,0.23129217610059633,-0.20028524857573768,0.12645812536775577,0.0,0.11174041815274033,0.0,0.5118813024274605,-0.2846141922256942
-0.4398241384408804,-0.1516062778923605,-0.32650760988127003,-0.4502386389144539,-0.3224117140553099,0.011718453074451657,0.24955483800483494,-0.20730901883061326,0.13092682595070076,0.0,0.11169573114691089,0.0,0.4589730715929472,-0.17763310801998478
-0.4527820195576679,-0.16947458656473485,-0.32152380945173625,-0.4433662125020025,-0.3120140482041019,0.0033887599670129527,0.2698204637220757,-0.20912999091749163,0.1353937394197947,0.0,0.11165106201221989,0.0,0.5092400593938207,-0.0476067254488175
-0.4655421120425176,-0.1870701540153387,-0.3166160815729479,-0.4365986865594625,-0.3008988474079762,-0.004885006112822833,0.28554540488614594,-0.20467010730292115,0.13985886648973664,0.0,0.11160641074152049,0.0,0.39590232930078795,0.10942864884430181
-0.4781074349340032,-0.2043971433563846,-0.31178326507622267,-0.42993445988982937,-0.28921972072985375,-0.012910885198004008,0.2980963199430225,-0.19682060742343807,0.1443222078749398,0.0,0.11156177732766846,0.0,0.316692658091442,0.19423102721578234
-0.4904809611882018,-0.22145965415448976,-0.3070242165169158,-0.4233719557367121,-0.2771584055064414,-0.02055327232662809,0.30480136829713084,-0.18558050054802583,0.1487837642895316,0.0,0.11151716176352253,0.0,0.17064153765856016,0.27909207510315004
-0.502665618382096,-0.23826172340063398,-0.3023378099038795,-0.4169096214112719,-0.26485721891603264,-0.027727925088964694,0.310124527587337,-0.1734560564580988,0.153243536447354,0.0,0.11147256404194426,0.0,0.13615427890275833,0.30131743905759156
-0.5146642894062383,-0.25480732646531173,-0.29772293643305553,-0.41054592792485733,-0.2524964210915671,-0.03436454430342059,0.30796938576705113,-0.15874369354382917,0.15770152506196333,0.0,0.11142798415579815,0.0,-0.05078834605103255,0.3661499180531255
-0.5264798131468437,-0.2711003780391052,-0.2931785042251306,-0.4042793696272446,-0.24037240053553316,-0.040391902348085575,0.2984697654515719,-0.14301838899628228,0.16215773084663074,0.0,0.11138342209795149,0.0,-0.23445950274796967,0.391625774177507
-0.5381149851574691,-0.2871447330588998,-0.28870343806719756,-0.39810846385040055,-0.22876680859336662,-0.045777753931022985,0.2822172279150633,-0.12668364699730397,0.16661215451434203,0.0,0.11133887786127433,0.0,-0.40341204042717393,0.40702208707872406
-0.5495725583204434,-0.3029441876199628,-0.2842966791583613,-0.39203175055768413,-0.21806095419214672,-0.050445534378102994,0.2537881140722368,-0.10719391710086591,0.1710647967777979,0.0,0.1112943514386398,0.0,-0.708051382470358,0.48607630229918164
